title,address,longitude,latitude,coord_type,,phoneNumber,info_type
月星家居,上海市普陀区澳门路168号2楼,121.45283,31.253854,3,,,鞋柜旗下门店
西郊大公馆,上海市青浦区,121.304501,31.186161,3,,,鞋柜旗下门店
虹桥汇,上海市闵行区锡虹路,121.321174,31.203954,3,,,鞋柜旗下门店
